id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code
319715,GMQ,medium_airport,Golog MaqÃªn Airport,34.418066,100.301144,12426,AS,CN,CN-63,Golog (MaqÃªn),yes,ZLGL,GMQ,
3119,GMTA,medium_airport,Cherif Al Idrissi Airport,35.17710114,-3.839519978,95,AF,MA,MA-HOC,Al Hoceima,yes,GMTA,AHU,
3120,GMTN,medium_airport,Sania Ramel Airport,35.594299,-5.32002,10,AF,MA,MA-TET,TÃ©touan,yes,GMTN,TTU,
3121,GMTT,medium_airport,Tangier Ibn Battuta Airport,35.731741,-5.921459,62,AF,MA,MA-TNG,Tangier,yes,GMTT,TNG,
325736,GOBD,large_airport,Blaise Diagne International Airport,14.67,-17.073333,290,AF,SN,SN-DK,Dakar,yes,GOBD,DSS,
3122,GOGG,medium_airport,Ziguinchor Airport,12.5556,-16.281799,75,AF,SN,SN-ZG,Ziguinchor,yes,GOGG,ZIG,
3123,GOGS,medium_airport,Cap Skirring Airport,12.39533,-16.748,52,AF,SN,SN-ZG,Cap Skirring,yes,GOGS,CSK,
31879,GOSM,medium_airport,Ouro Sogui Airport,15.5936,-13.3228,85,AF,SN,SN-MT,Ouro Sogui,yes,GOSM,MAX,
3126,GOSS,medium_airport,Saint Louis Airport,16.049814,-16.461039,9,AF,SN,SN-SL,Saint Louis,yes,GOSS,XLS,
3129,GOTT,medium_airport,Tambacounda Airport,13.73680019,-13.65310001,161,AF,SN,SN-TC,Tambacounda,yes,GOTT,TUD,
323315,GQNO,large_airport,Nouakchottâ€“Oumtounsy International Airport,18.31,-15.9697222,9,AF,MR,MR-NKC,Nouakchott,yes,GQNO,NKC,
3138,GQPP,medium_airport,Nouadhibou International Airport,20.93309975,-17.03000069,24,AF,MR,MR-08,Nouadhibou,yes,GQPP,NDB,
3146,GUCY,medium_airport,Conakry International Airport,9.57689,-13.612,72,AF,GN,GN-C,Conakry,yes,GUCY,CKY,
3150,GVAC,large_airport,AmÃ­lcar Cabral International Airport,16.7414,-22.9494,177,AF,CV,CV-B,Espargos,yes,GVAC,SID,
3151,GVBA,medium_airport,Rabil Airport,16.1364994,-22.88890076,69,AF,CV,CV-B,Rabil,yes,GVBA,BVC,
3152,GVMA,medium_airport,Maio Airport,15.1559,-23.21369934,36,AF,CV,CV-S,Vila do Maio,yes,GVMA,MMO,
3153,GVNP,medium_airport,Praia International Airport,14.92450047,-23.49349976,230,AF,CV,CV-S,Praia,yes,GVNP,RAI,
32287,GVSF,small_airport,SÃ£o Filipe Airport,14.88500023,-24.47999954,617,AF,CV,CV-S,SÃ£o Filipe,yes,GVSF,SFL,
3154,GVSN,medium_airport,PreguiÃ§a Airport,16.588852,-24.284132,669,AF,CV,CV-B,PreguiÃ§a,yes,GVSN,SNE,
3155,GVSV,medium_airport,SÃ£o Pedro Airport,16.8332,-25.0553,66,AF,CV,CV-B,SÃ£o Pedro,yes,GVSV,VXE,
41501,GY-BTO,small_airport,Botopasi Airport,4.217511094,-55.44705391,242,SA,SR,SR-SI,Botopasi,yes,SMBO,BTO,
41502,GY-DOE,small_airport,Djumu-Djomoe Airport,4.005712611,-55.48164368,290,SA,SR,SR-SI,Djumu-Djomoe,yes,SMDJ,DOE,
41503,GY-LDO,small_airport,Ladouanie Airport,4.376108283,-55.40705681,236,SA,SR,SR-SI,Aurora,yes,SMDO,LDO,
3157,HAAB,large_airport,Addis Ababa Bole International Airport,8.97789,38.799301,7630,AF,ET,ET-AA,Addis Ababa,yes,HAAB,ADD,
3159,HAAM,medium_airport,Arba Minch Airport,6.03939,37.5905,3901,AF,ET,ET-SN,Arba Minch,yes,HAAM,AMH,
3160,HAAX,medium_airport,Axum Airport,14.1468,38.7728,6959,AF,ET,ET-TI,Axum,yes,HAAX,AXU,
3161,HABD,medium_airport,Bahir Dar Airport,11.6081,37.321602,5978,AF,ET,ET-AM,Bahir Dar,yes,HABD,BJR,
30694,HABE,small_airport,Beica Airport,9.38639,34.5219,5410,AF,ET,ET-OR,Beica,yes,HABE,BEI,
30885,HADD,small_airport,Dembidollo Airport,8.554,34.858002,5200,AF,ET,ET-OR,Dembidollo,yes,HADD,DEM,
3162,HADR,medium_airport,Aba Tenna Dejazmach Yilma International Airport,9.624699593,41.85419846,3827,AF,ET,ET-DD,Dire Dawa,yes,HADR,DIR,
3163,HAGM,medium_airport,Gambela Airport,8.12876,34.563099,1614,AF,ET,ET-GA,Gambela,yes,HAGM,GMB,
3164,HAGN,medium_airport,Gondar Airport,12.5199,37.433998,6449,AF,ET,ET-AM,Azezo,yes,HAGN,GDQ,
3165,HAGO,medium_airport,Gode Airport,5.935130119,43.57860184,834,AF,ET,ET-SO,Gode,yes,HAGO,GDE,
31547,HAGR,small_airport,Gore Airport,8.1614,35.5529,6580,AF,ET,ET-OR,Gore,yes,HAGR,GOR,
313314,HAJJ,medium_airport,Wilwal International Airport,9.3325,42.9121,5954,AF,ET,ET-SO,Jijiga,yes,HAJJ,JIJ,
3166,HAJM,medium_airport,Jimma Airport,7.666090012,36.8166008,5500,AF,ET,ET-OR,Jimma,yes,HAJM,JIM,
30612,HAKD,medium_airport,Kebri Dahar Airport,6.732577,44.241339,1800,AF,ET,ET-SO,Kebri Dahar,yes,HAKD,ABK,
30664,HALA,medium_airport,Hawassa International Airport,7.099869,38.396187,5450,AF,ET,ET-XSD,Hawassa,yes,HALA,AWA,
3168,HAMK,medium_airport,Alula Aba Nega Airport,13.4674,39.533501,7396,AF,ET,ET-TI,Mekelle,yes,HAMK,MQX,
31960,HAMT,small_airport,Mizan Teferi Airport,6.9571,35.5547,4396,AF,ET,ET-SW,Mizan Teferi,yes,HAMT,MTF,
314658,HASM,small_airport,Semera Airport,11.7875,40.9915,1390,AF,ET,ET-AF,Semera,yes,HASM,SZE,
3169,HASO,medium_airport,Asosa Airport,10.01850033,34.5862999,5100,AF,ET,ET-BE,Asosa,yes,HASO,ASO,
32448,HATP,small_airport,Tippi Airport,7.2024,35.415,1100,AF,ET,ET-SW,Tippi,yes,HATP,TIE,
3170,HBBA,medium_airport,Bujumbura Melchior Ndadaye International Airport,-3.32402,29.318501,2582,AF,BI,BI-BM,Bujumbura,yes,HBBA,BJM,
307094,HBBO,small_airport,Kirundo Airport,-2.544772,30.094575,4511,AF,BI,BI-KI,Kirundo,yes,HBBO,KRE,
333096,HBQ,small_airport,Haibei Qilian Airport,38.008068,100.645065,10377,AS,CN,CN-63,Haibei (Qilian),yes,ZLHB,HBQ,
30792,HCMF,small_airport,Bosaso / Bender Qassim International Airport,11.275235,49.139231,3,AF,SO,SO-BR,Bosaso,yes,HCMF,BSA,
3171,HCMH,medium_airport,Egal International Airport,9.513207,44.082389,4471,AF,SO,SO-WO,Hargeisa,yes,HCMH,HGA,
3172,HCMI,medium_airport,Berbera Airport,10.385035,44.936723,30,AF,SO,SO-WO,Berbera,yes,HCMI,BBO,
31899,HCMM,medium_airport,Aden Adde International Airport,2.01444006,45.30469894,29,AF,SO,SO-BN,Mogadishu,yes,HCMM,MGQ,
31572,HCMN,small_airport,Beledweyne Airport,4.766976,45.2388,559,AF,SO,SO-HI,Beledweyne,yes,HCMN,BLW,
31536,HCMR,small_airport,Galcaio Airport,6.780829906,47.45470047,975,AF,SO,SO-MU,Galcaio,yes,HCMR,GLK,
319714,HCMW,small_airport,Garowe Airport,8.457942,48.567407,1465,AF,SO,SO-NU,Garowe,yes,HCGR,GGR,
3174,HDAM,large_airport,Djibouti-Ambouli Airport,11.5473,43.1595,49,AF,DJ,DJ-DJ,Djibouti City,yes,HDAM,JIB,
3175,HEAL,medium_airport,El Alamein International Airport,30.930326,28.463076,154,AF,EG,EG-MT,El Alamein,yes,HEAL,DBB,
3176,HEAR,medium_airport,El Arish International Airport,31.078565,33.836791,118,AS,EG,EG-SIN,El Arish,yes,HEAR,AAC,
3177,HEAT,medium_airport,Asyut International Airport,27.050818,31.016309,748,AF,EG,EG-AST,Asyut,yes,HEAT,ATZ,
3180,HEBA,medium_airport,Borj El Arab International Airport,30.93249,29.696437,171,AF,EG,EG-ALX,Alexandria,yes,HEBA,HBE,
3181,HEBL,medium_airport,Abu Simbel Airport,22.367657,31.609962,614,AF,EG,EG-ASN,Abu Simbel,yes,HEBL,ABS,
3183,HECA,large_airport,Cairo International Airport,30.111534,31.396694,322,AF,EG,EG-C,Cairo,yes,HECA,CAI,
3186,HEGN,large_airport,Hurghada International Airport,27.176776,33.796692,32,AF,EG,EG-BA,Hurghada,yes,HEGN,HRG,
3191,HELX,medium_airport,Luxor International Airport,25.674629,32.700012,276,AF,EG,EG-LX,Luxor,yes,HELX,LXR,
3192,HEMA,medium_airport,Marsa Alam International Airport,25.555548,34.59245,213,AF,EG,EG-BA,Marsa Alam,yes,HEMA,RMF,
3193,HEMM,medium_airport,Marsa Matruh International Airport,31.338225,27.217577,75,AF,EG,EG-MT,Marsa Matruh,yes,HEMM,MUH,
300893,HESG,medium_airport,Suhaj Mubarak International Airport,26.339115,31.737624,322,AF,EG,EG-SHG,Suhaj,yes,HESG,HMB,
